transaction_id,grant_no,cost_center,program_area,category,fiscal_year,quarter,budget_allocated,actual_expenditure,execution_rate,variance,status,batch_id
FIN-100064,ONRD-2019-MATL-00022,ONR-Corporate,Materials,Equipment,2019,Q4,342832.89,285276.87,83.2,57556.02,Closed,seed-initial-2026
FIN-100065,ONRD-2019-MATL-00022,ONR-Corporate,Materials,Personnel,2019,Q4,222167.65,162846.08,73.3,59321.57,Closed,seed-initial-2026
FIN-100066,ONRD-2019-MATL-00022,ONR-Corporate,Materials,Training,2019,Q2,165999.46,141168.91,85.0,24830.55,Closed,seed-initial-2026
FIN-100067,ONRD-2019-USEA-00023,Code-30,Undersea,Contractors,2019,Q2,179654.74,192191.65,107.0,-12536.91,Closed,seed-initial-2026
FIN-100068,ONRD-2019-USEA-00023,Code-30,Undersea,Travel,2019,Q4,373528.75,345714.62,92.6,27814.13,Closed,seed-initial-2026
FIN-100069,ONRD-2019-USEA-00023,Code-30,Undersea,Personnel,2019,Q1,249816.51,237559.27,95.1,12257.24,Closed,seed-initial-2026
FIN-100070,ONRD-2019-BIOT-00024,Code-31,Biotech,Personnel,2019,Q2,65529.95,66478.74,101.4,-948.79,Closed,seed-initial-2026
FIN-100071,ONRD-2019-BIOT-00024,Code-31,Biotech,Personnel,2019,Q4,370356.66,292690.26,79.0,77666.4,Closed,seed-initial-2026
FIN-100072,ONRD-2019-BIOT-00024,Code-31,Biotech,Personnel,2019,Q2,324113.39,267324.64,82.5,56788.75,Closed,seed-initial-2026
FIN-100073,ONRD-2019-MATL-00025,Code-30,Materials,Contractors,2019,Q4,154508.06,156520.86,101.3,-2012.8,Closed,seed-initial-2026
FIN-100074,ONRD-2019-MATL-00025,Code-30,Materials,Other Direct Costs,2019,Q4,69963.76,55470.01,79.3,14493.75,Closed,seed-initial-2026
FIN-100075,ONRD-2019-MATL-00025,Code-30,Materials,Equipment,2019,Q3,407528.18,417950.67,102.6,-10422.49,Closed,seed-initial-2026
FIN-100076,ONRD-2019-CYBR-00026,Code-30,Cyber,Travel,2019,Q3,342924.46,369472.05,107.7,-26547.59,Closed,seed-initial-2026
FIN-100077,ONRD-2019-CYBR-00026,Code-30,Cyber,Equipment,2019,Q2,653947.2,640477.15,97.9,13470.05,Closed,seed-initial-2026
FIN-100078,ONRD-2019-CYBR-00026,Code-30,Cyber,Personnel,2019,Q4,87128.34,88742.92,101.9,-1614.58,Closed,seed-initial-2026
FIN-100079,ONRD-2019-QNTM-00027,Code-35,Quantum,Facilities,2019,Q3,291239.73,306562.62,105.3,-15322.89,Closed,seed-initial-2026
FIN-100080,ONRD-2019-QNTM-00027,Code-35,Quantum,Supplies,2019,Q2,651017.45,630756.25,96.9,20261.2,Closed,seed-initial-2026
FIN-100081,ONRD-2019-QNTM-00027,Code-35,Quantum,Equipment,2019,Q1,51742.82,51217.1,99.0,525.72,Closed,seed-initial-2026
FIN-100082,ONRD-2019-AUTO-00028,Code-30,Autonomy,Contractors,2019,Q1,61583.53,57392.38,93.2,4191.15,Closed,seed-initial-2026
FIN-100083,ONRD-2019-AUTO-00028,Code-30,Autonomy,Supplies,2019,Q1,10345.08,8798.12,85.0,1546.96,Closed,seed-initial-2026
FIN-100084,ONRD-2019-AUTO-00028,Code-30,Autonomy,Other Direct Costs,2019,Q1,57071.39,54821.41,96.1,2249.98,Closed,seed-initial-2026
FIN-100085,ONRD-2019-BIOT-00029,Code-31,Biotech,Other Direct Costs,2019,Q4,13323.21,13201.9,99.1,121.31,Closed,seed-initial-2026
FIN-100086,ONRD-2019-BIOT-00029,Code-31,Biotech,Travel,2019,Q2,15524.21,14911.54,96.1,612.67,Closed,seed-initial-2026
FIN-100087,ONRD-2019-BIOT-00029,Code-31,Biotech,Training,2019,Q2,26152.59,22453.21,85.9,3699.38,Closed,seed-initial-2026
FIN-100088,ONRD-2019-DEWX-00030,Code-32,Directed Energy,Training,2019,Q1,1106630.55,1091396.42,98.6,15234.13,Closed,seed-initial-2026
FIN-100089,ONRD-2019-DEWX-00030,Code-32,Directed Energy,Contractors,2019,Q3,1006324.52,917625.94,91.2,88698.58,Closed,seed-initial-2026
FIN-100090,ONRD-2019-DEWX-00030,Code-32,Directed Energy,Contractors,2019,Q3,453044.92,332419.23,73.4,120625.69,Closed,seed-initial-2026
FIN-100091,ONRD-2019-CYBR-00031,Code-30,Cyber,Training,2019,Q4,21802.05,18461.96,84.7,3340.09,Closed,seed-initial-2026
FIN-100092,ONRD-2019-CYBR-00031,Code-30,Cyber,Travel,2019,Q2,72203.53,56550.44,78.3,15653.09,Closed,seed-initial-2026
FIN-100093,ONRD-2019-CYBR-00031,Code-30,Cyber,Supplies,2019,Q2,72994.42,63701.19,87.3,9293.23,Closed,seed-initial-2026
FIN-100094,ONRD-2019-DEWX-00032,Code-30,Directed Energy,Training,2019,Q1,11827.21,8924.46,75.5,2902.75,Closed,seed-initial-2026
FIN-100095,ONRD-2019-DEWX-00032,Code-30,Directed Energy,Equipment,2019,Q3,42115.46,43699.65,103.8,-1584.19,Closed,seed-initial-2026
FIN-100096,ONRD-2019-DEWX-00032,Code-30,Directed Energy,Personnel,2019,Q1,46057.33,33593.49,72.9,12463.84,Closed,seed-initial-2026
FIN-100097,ONRD-2020-AIML-00033,Code-32,AI/ML,Supplies,2020,Q2,23646.58,23884.57,101.0,-237.99,Closed,seed-initial-2026
FIN-100098,ONRD-2020-AIML-00033,Code-32,AI/ML,Travel,2020,Q3,90573.68,67357.24,74.4,23216.44,Closed,seed-initial-2026
FIN-100099,ONRD-2020-AIML-00033,Code-32,AI/ML,Training,2020,Q4,188779.74,199712.91,105.8,-10933.17,Closed,seed-initial-2026
FIN-100100,ONRD-2020-AUTO-00034,ONR-Corporate,Autonomy,Training,2020,Q3,2053887.89,1659298.22,80.8,394589.67,Closed,seed-initial-2026
FIN-100101,ONRD-2020-AUTO-00034,ONR-Corporate,Autonomy,Supplies,2020,Q1,369364.79,365615.22,99.0,3749.57,Closed,seed-initial-2026
FIN-100102,ONRD-2020-AUTO-00034,ONR-Corporate,Autonomy,Travel,2020,Q2,1155747.33,1075989.96,93.1,79757.37,Closed,seed-initial-2026
FIN-100103,ONRD-2020-AIML-00035,Code-32,AI/ML,Other Direct Costs,2020,Q4,83688.41,85545.54,102.2,-1857.13,Closed,seed-initial-2026
FIN-100104,ONRD-2020-AIML-00035,Code-32,AI/ML,Training,2020,Q1,69362.53,63562.9,91.6,5799.63,Closed,seed-initial-2026
FIN-100105,ONRD-2020-AIML-00035,Code-32,AI/ML,Personnel,2020,Q4,86949.06,69392.31,79.8,17556.75,Closed,seed-initial-2026
FIN-100106,ONRD-2020-BIOT-00036,Code-32,Biotech,Other Direct Costs,2020,Q3,84465.81,63231.9,74.9,21233.91,Closed,seed-initial-2026
FIN-100107,ONRD-2020-BIOT-00036,Code-32,Biotech,Supplies,2020,Q2,31319.89,24084.33,76.9,7235.56,Closed,seed-initial-2026
FIN-100108,ONRD-2020-BIOT-00036,Code-32,Biotech,Contractors,2020,Q1,206214.3,175270.76,85.0,30943.54,Closed,seed-initial-2026
FIN-100109,ONRD-2020-CYBR-00037,Code-35,Cyber,Travel,2020,Q4,204356.19,180085.37,88.1,24270.82,Closed,seed-initial-2026
FIN-100110,ONRD-2020-CYBR-00037,Code-35,Cyber,Personnel,2020,Q1,201818.58,197638.9,97.9,4179.68,Closed,seed-initial-2026
FIN-100111,ONRD-2020-CYBR-00037,Code-35,Cyber,Other Direct Costs,2020,Q4,219825.24,224661.03,102.2,-4835.79,Closed,seed-initial-2026
FIN-100112,ONRD-2020-USEA-00038,Code-31,Undersea,Travel,2020,Q2,22463.42,20566.06,91.6,1897.36,Closed,seed-initial-2026
FIN-100113,ONRD-2020-USEA-00038,Code-31,Undersea,Travel,2020,Q4,17390.94,14168.8,81.5,3222.14,Closed,seed-initial-2026
FIN-100114,ONRD-2020-USEA-00038,Code-31,Undersea,Other Direct Costs,2020,Q3,16145.65,12180.97,75.4,3964.68,Closed,seed-initial-2026
FIN-100115,ONRD-2020-AIML-00039,Code-30,AI/ML,Contractors,2020,Q2,118804.96,88461.04,74.5,30343.92,Closed,seed-initial-2026
FIN-100116,ONRD-2020-AIML-00039,Code-30,AI/ML,Travel,2020,Q1,32492.11,28150.72,86.6,4341.39,Closed,seed-initial-2026
FIN-100117,ONRD-2020-AIML-00039,Code-30,AI/ML,Training,2020,Q1,40702.93,33948.41,83.4,6754.52,Closed,seed-initial-2026
FIN-100118,ONRD-2020-MATL-00040,Code-30,Materials,Equipment,2020,Q3,238650.5,240904.16,100.9,-2253.66,Closed,seed-initial-2026
FIN-100119,ONRD-2020-MATL-00040,Code-30,Materials,Travel,2020,Q3,132802.5,117482.48,88.5,15320.02,Closed,seed-initial-2026
FIN-100120,ONRD-2020-MATL-00040,Code-30,Materials,Supplies,2020,Q1,528547.0,396675.15,75.1,131871.85,Closed,seed-initial-2026
FIN-100121,ONRD-2020-BIOT-00041,Code-30,Biotech,Equipment,2020,Q4,83207.02,71618.69,86.1,11588.33,Closed,seed-initial-2026
FIN-100122,ONRD-2020-BIOT-00041,Code-30,Biotech,Travel,2020,Q2,40617.1,30656.03,75.5,9961.07,Closed,seed-initial-2026
FIN-100123,ONRD-2020-BIOT-00041,Code-30,Biotech,Equipment,2020,Q1,90175.88,81667.12,90.6,8508.76,Closed,seed-initial-2026
FIN-100124,ONRD-2020-BIOT-00042,Code-34,Biotech,Supplies,2020,Q3,80532.93,61807.55,76.7,18725.38,Closed,seed-initial-2026
FIN-100125,ONRD-2020-BIOT-00042,Code-34,Biotech,Facilities,2020,Q3,96095.98,70343.36,73.2,25752.62,Closed,seed-initial-2026
FIN-100126,ONRD-2020-BIOT-00042,Code-34,Biotech,Equipment,2020,Q4,56371.08,56702.63,100.6,-331.55,Closed,seed-initial-2026
FIN-100127,ONRD-2020-USEA-00043,Code-30,Undersea,Training,2020,Q1,195294.92,209920.83,107.5,-14625.91,Closed,seed-initial-2026
FIN-100128,ONRD-2020-USEA-00043,Code-30,Undersea,Other Direct Costs,2020,Q4,187020.48,192743.81,103.1,-5723.33,Closed,seed-initial-2026
FIN-100129,ONRD-2020-USEA-00043,Code-30,Undersea,Travel,2020,Q4,66684.6,59251.53,88.9,7433.07,Closed,seed-initial-2026
FIN-100130,ONRD-2020-USEA-00044,Code-30,Undersea,Personnel,2020,Q1,928567.87,862396.37,92.9,66171.5,Closed,seed-initial-2026
FIN-100131,ONRD-2020-USEA-00044,Code-30,Undersea,Facilities,2020,Q3,206010.74,165666.0,80.4,40344.74,Closed,seed-initial-2026
FIN-100132,ONRD-2020-USEA-00044,Code-30,Undersea,Other Direct Costs,2020,Q3,637421.38,679536.3,106.6,-42114.92,Closed,seed-initial-2026
FIN-100133,ONRD-2020-QNTM-00045,Code-30,Quantum,Personnel,2020,Q4,224366.19,163525.94,72.9,60840.25,Closed,seed-initial-2026
FIN-100134,ONRD-2020-QNTM-00045,Code-30,Quantum,Supplies,2020,Q3,14709.38,15242.1,103.6,-532.72,Closed,seed-initial-2026
FIN-100135,ONRD-2020-QNTM-00045,Code-30,Quantum,Facilities,2020,Q4,392924.44,407077.65,103.6,-14153.21,Closed,seed-initial-2026
FIN-100136,ONRD-2020-MATL-00046,Code-31,Materials,Supplies,2020,Q3,68041.18,62819.02,92.3,5222.16,Closed,seed-initial-2026
FIN-100137,ONRD-2020-MATL-00046,Code-31,Materials,Facilities,2020,Q1,37288.59,27473.2,73.7,9815.39,Closed,seed-initial-2026
FIN-100138,ONRD-2020-MATL-00046,Code-31,Materials,Training,2020,Q1,25670.23,21497.75,83.7,4172.48,Closed,seed-initial-2026
FIN-100139,ONRD-2020-DEWX-00047,Code-30,Directed Energy,Personnel,2020,Q2,338513.06,300567.11,88.8,37945.95,Closed,seed-initial-2026
FIN-100140,ONRD-2020-DEWX-00047,Code-30,Directed Energy,Travel,2020,Q3,170819.07,177951.13,104.2,-7132.06,Closed,seed-initial-2026
FIN-100141,ONRD-2020-DEWX-00047,Code-30,Directed Energy,Contractors,2020,Q4,100667.88,92896.01,92.3,7771.87,Closed,seed-initial-2026
FIN-100142,ONRD-2020-QNTM-00048,Code-31,Quantum,Personnel,2020,Q2,84939.66,65397.37,77.0,19542.29,Closed,seed-initial-2026
FIN-100143,ONRD-2020-QNTM-00048,Code-31,Quantum,Facilities,2020,Q4,11579.56,9313.12,80.4,2266.44,Closed,seed-initial-2026
FIN-100144,ONRD-2020-QNTM-00048,Code-31,Quantum,Other Direct Costs,2020,Q1,18480.78,15162.5,82.0,3318.28,Closed,seed-initial-2026
FIN-100145,ONRD-2020-MATL-00049,Code-32,Materials,Contractors,2020,Q4,57993.29,50471.66,87.0,7521.63,Closed,seed-initial-2026
FIN-100146,ONRD-2020-MATL-00049,Code-32,Materials,Personnel,2020,Q2,62788.18,56505.79,90.0,6282.39,Closed,seed-initial-2026
FIN-100147,ONRD-2020-MATL-00049,Code-32,Materials,Training,2020,Q1,12218.53,9485.03,77.6,2733.5,Closed,seed-initial-2026
FIN-100148,ONRD-2020-AIML-00050,Code-30,AI/ML,Equipment,2020,Q3,172840.3,177656.72,102.8,-4816.42,Closed,seed-initial-2026
FIN-100149,ONRD-2020-AIML-00050,Code-30,AI/ML,Equipment,2020,Q1,37784.14,39579.57,104.8,-1795.43,Closed,seed-initial-2026
FIN-100150,ONRD-2020-AIML-00050,Code-30,AI/ML,Equipment,2020,Q4,250375.55,193916.3,77.5,56459.25,Closed,seed-initial-2026
FIN-100151,ONRD-2020-CYBR-00051,Code-35,Cyber,Personnel,2020,Q3,14358.89,14445.19,100.6,-86.3,Closed,seed-initial-2026
FIN-100152,ONRD-2020-CYBR-00051,Code-35,Cyber,Contractors,2020,Q4,133337.83,111701.98,83.8,21635.85,Closed,seed-initial-2026
FIN-100153,ONRD-2020-CYBR-00051,Code-35,Cyber,Contractors,2020,Q3,75303.29,71907.47,95.5,3395.82,Closed,seed-initial-2026
FIN-100154,ONRD-2020-AUTO-00052,Code-31,Autonomy,Equipment,2020,Q3,62724.88,53943.65,86.0,8781.23,Closed,seed-initial-2026
FIN-100155,ONRD-2020-AUTO-00052,Code-31,Autonomy,Training,2020,Q3,94515.09,77599.56,82.1,16915.53,Closed,seed-initial-2026
FIN-100156,ONRD-2020-AUTO-00052,Code-31,Autonomy,Supplies,2020,Q3,76760.03,80606.13,105.0,-3846.1,Closed,seed-initial-2026
FIN-100157,ONRD-2020-AUTO-00053,Code-31,Autonomy,Equipment,2020,Q1,60153.21,46396.44,77.1,13756.77,Closed,seed-initial-2026
FIN-100158,ONRD-2020-AUTO-00053,Code-31,Autonomy,Training,2020,Q3,111625.91,117068.95,104.9,-5443.04,Closed,seed-initial-2026
FIN-100159,ONRD-2020-AUTO-00053,Code-31,Autonomy,Training,2020,Q2,130220.88,98499.69,75.6,31721.19,Closed,seed-initial-2026
FIN-100160,ONRD-2020-QNTM-00054,Code-34,Quantum,Facilities,2020,Q2,330092.7,311436.73,94.3,18655.97,Closed,seed-initial-2026
FIN-100161,ONRD-2020-QNTM-00054,Code-34,Quantum,Equipment,2020,Q1,185939.54,186122.58,100.1,-183.04,Closed,seed-initial-2026
FIN-100162,ONRD-2020-QNTM-00054,Code-34,Quantum,Contractors,2020,Q1,35967.76,37381.17,103.9,-1413.41,Closed,seed-initial-2026
FIN-100163,ONRD-2020-USEA-00055,Code-30,Undersea,Equipment,2020,Q1,9547.19,8532.34,89.4,1014.85,Closed,seed-initial-2026
FIN-100164,ONRD-2020-USEA-00055,Code-30,Undersea,Contractors,2020,Q2,17505.38,14165.22,80.9,3340.16,Closed,seed-initial-2026
FIN-100165,ONRD-2020-USEA-00055,Code-30,Undersea,Contractors,2020,Q3,52947.43,53438.98,100.9,-491.55,Closed,seed-initial-2026
FIN-100166,ONRD-2020-QNTM-00056,Code-31,Quantum,Training,2020,Q3,66137.05,49075.67,74.2,17061.38,Closed,seed-initial-2026
FIN-100167,ONRD-2020-QNTM-00056,Code-31,Quantum,Facilities,2020,Q3,1256172.58,1296054.98,103.2,-39882.4,Closed,seed-initial-2026
FIN-100168,ONRD-2020-QNTM-00056,Code-31,Quantum,Supplies,2020,Q4,1333690.37,1308096.27,98.1,25594.1,Closed,seed-initial-2026
FIN-100169,ONRD-2020-CYBR-00057,Code-30,Cyber,Personnel,2020,Q4,233632.3,238864.99,102.2,-5232.69,Closed,seed-initial-2026
FIN-100170,ONRD-2020-CYBR-00057,Code-30,Cyber,Other Direct Costs,2020,Q2,30356.07,28573.73,94.1,1782.34,Closed,seed-initial-2026
FIN-100171,ONRD-2020-CYBR-00057,Code-30,Cyber,Equipment,2020,Q4,131011.64,120998.13,92.4,10013.51,Closed,seed-initial-2026
FIN-100172,ONRD-2020-CYBR-00058,Code-35,Cyber,Other Direct Costs,2020,Q2,4336.59,3250.86,75.0,1085.73,Closed,seed-initial-2026
FIN-100173,ONRD-2020-CYBR-00058,Code-35,Cyber,Equipment,2020,Q1,8543.83,7792.07,91.2,751.76,Closed,seed-initial-2026
FIN-100174,ONRD-2020-CYBR-00058,Code-35,Cyber,Equipment,2020,Q1,82119.58,76271.97,92.9,5847.61,Closed,seed-initial-2026
FIN-100175,ONRD-2020-CYBR-00059,Code-30,Cyber,Contractors,2020,Q4,208420.14,193191.73,92.7,15228.41,Closed,seed-initial-2026
FIN-100176,ONRD-2020-CYBR-00059,Code-30,Cyber,Personnel,2020,Q2,602368.47,601251.48,99.8,1116.99,Closed,seed-initial-2026
FIN-100177,ONRD-2020-CYBR-00059,Code-30,Cyber,Equipment,2020,Q2,119211.39,99547.75,83.5,19663.64,Closed,seed-initial-2026
FIN-100178,ONRD-2020-DEWX-00060,ONR-Corporate,Directed Energy,Equipment,2020,Q4,264747.17,273041.1,103.1,-8293.93,Closed,seed-initial-2026
FIN-100179,ONRD-2020-DEWX-00060,ONR-Corporate,Directed Energy,Contractors,2020,Q1,133490.62,109907.15,82.3,23583.47,Closed,seed-initial-2026
