grant_no,title,abstract,program_area,fiscal_year,amount_usd,awardee,org_unit,classification_band,batch_id,created_at
ONRD-2019-DEWX-00014,Advancing thermal management for solid-state lasers to Improve counter-unmanned aerial system (C-UAS) engagement,"This effort develops thermal management for solid-state lasers to address persistent beam quality-driven challenges in counter-unmanned aerial system (C-UAS) engagement. The performer will design, implement, and evaluate a prototype capability, validating performance against power density-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in beam quality factor and a documented transition path informed by operational stakeholder feedback. Key technical risks include thermal blooming and constrained duty-cycle limits, which will be tracked via quarterly milestone reviews.",Directed Energy,2019,147000,Farview Polytechnic University,Code-32,CUI-Mock,seed-initial-2026,2019-04-06T15:44:39+00:00
ONRD-2019-AIML-00015,Advancing federated learning to Improve command-and-control decision support,"This effort develops federated learning to address persistent latency-driven challenges in command-and-control decision support. The performer will design, implement, and evaluate a prototype capability, validating performance against trust calibration-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is trust calibration; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2019,97000,Vantage Dynamics Corp.,Code-35,CUI-Mock,seed-initial-2026,2018-11-29T17:01:06+00:00
ONRD-2019-AUTO-00016,Robust Swarm Coordination Algorithms for Group Unmanned Aerial System (UAS) Reconnaissance,"This effort develops swarm coordination algorithms to address persistent autonomy assurance-driven challenges in group unmanned aerial system (UAS) reconnaissance. Research activities include algorithm development, onboard perception-to-action pipelines integration, and iterative field evaluation to quantify gains in mission completion rate. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback.",Autonomy,2019,142000,Foxglove Applied Research LLC,Code-30,CUI-Mock,seed-initial-2026,2018-12-29T13:47:59+00:00
ONRD-2019-CYBR-00017,Low-Latency Anomaly-based Intrusion Detection for Industrial-control-system (ICS) Protection for Propulsion Systems,"This effort develops anomaly-based intrusion detection to address persistent lateral movement-driven challenges in industrial-control-system (ICS) protection for propulsion systems. The team will conduct a phased study combining adversarial machine-learning defense with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback. Key technical risks include lateral movement and constrained zero-day exposure, which will be tracked via quarterly milestone reviews.",Cyber,2019,176000,University of Beacon,Code-31,CUI-Mock,seed-initial-2026,2018-11-27T12:37:23+00:00
ONRD-2019-MATL-00018,Advancing corrosion-resistant coating development to Improve thermal-protection systems for hypersonic platforms,"This effort develops corrosion-resistant coating development to address persistent corrosion rate-driven challenges in thermal-protection systems for hypersonic platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against specific strength-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2019,226000,University of Halcyon,Code-32,Public-Mock,seed-initial-2026,2018-10-27T08:05:27+00:00
ONRD-2019-USEA-00019,Autonomous Underwater Vehicle (AUV) Navigation for Undersea Cable Route Surveying,"This effort develops autonomous underwater vehicle (AUV) navigation to address persistent bathymetric uncertainty-driven challenges in undersea cable route surveying. Research activities include algorithm development, undersea acoustic communications integration, and iterative field evaluation to quantify gains in localization error. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback.",Undersea,2019,433000,Stonebridge Polytechnic University,Code-34,CUI-Mock,seed-initial-2026,2019-02-23T11:01:37+00:00
ONRD-2019-DEWX-00020,Low-Latency Adaptive Optics Wavefront Correction for Atmospheric Propagation Modeling,"This effort develops adaptive optics wavefront correction to address persistent duty-cycle limits-driven challenges in atmospheric propagation modeling. Research activities include algorithm development, high-power microwave source design integration, and iterative field evaluation to quantify gains in engagement range. Expected outcomes include a measurable improvement in engagement range and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2019,972000,"Longview Systems, Inc.",Code-32,CUI-Mock,seed-initial-2026,2019-01-20T18:52:03+00:00
ONRD-2019-USEA-00021,Phase II: Low-frequency Active Sonar Waveform Design for Submarine Detection and Tracking,"This effort develops low-frequency active sonar waveform design to address persistent bathymetric uncertainty-driven challenges in submarine detection and tracking. The performer will design, implement, and evaluate a prototype capability, validating performance against acoustic signature reduction-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback. Key technical risks include ambient ocean noise and constrained acoustic signature reduction, which will be tracked via quarterly milestone reviews.",Undersea,2019,586000,Windrose Applied Research LLC,Code-34,CUI-Mock,seed-initial-2026,2019-05-11T18:07:51+00:00
ONRD-2019-MATL-00022,Energy-Efficient Approaches to Battery Electrode Materials via Additive Manufacturing Process Qualification,"This effort develops additive manufacturing process qualification to address persistent specific strength-driven challenges in battery electrode materials. The performer will design, implement, and evaluate a prototype capability, validating performance against fracture toughness-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include fracture toughness and constrained corrosion rate, which will be tracked via quarterly milestone reviews.",Materials,2019,731000,Northgate Applied Research LLC,ONR-Corporate,CUI-Mock,seed-initial-2026,2018-11-04T17:12:10+00:00
ONRD-2019-USEA-00023,Energy-Efficient Passive Acoustic Signal Processing for Undersea Cable Route Surveying,"This effort develops passive acoustic signal processing to address persistent acoustic signature reduction-driven challenges in undersea cable route surveying. The performer will design, implement, and evaluate a prototype capability, validating performance against bathymetric uncertainty-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in signal-to-noise ratio and a documented transition path informed by operational stakeholder feedback.",Undersea,2019,803000,Farview Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2018-10-14T09:27:01+00:00
ONRD-2019-BIOT-00024,Microbiome-based Biofouling Mitigation for Warfighter Fatigue and Readiness Monitoring,This effort develops microbiome-based biofouling mitigation to address persistent assay sensitivity-driven challenges in warfighter fatigue and readiness monitoring. The team will conduct a phased study combining synthetic biology pathway engineering with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback.,Biotech,2019,760000,University of Pelican,Code-31,CUI-Mock,seed-initial-2026,2019-03-06T07:23:35+00:00
ONRD-2019-MATL-00025,High-Fidelity Approaches to Battery Electrode Materials via Additive Manufacturing Process Qualification,"This effort develops additive manufacturing process qualification to address persistent fracture toughness-driven challenges in battery electrode materials. The performer will design, implement, and evaluate a prototype capability, validating performance against specific strength-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.",Materials,2019,632000,Ironclad Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2019-06-09T16:03:44+00:00
ONRD-2019-CYBR-00026,Next-Generation Approaches to Industrial-control-system (ICS) Protection for Propulsion Systems via Secure Software-defined Networking,This effort develops secure software-defined networking to address persistent cyber-physical resilience-driven challenges in industrial-control-system (ICS) protection for propulsion systems. The team will conduct a phased study combining adversarial machine-learning defense with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback.,Cyber,2019,1084000,Driftwood Robotics Corp.,Code-30,Public-Mock,seed-initial-2026,2019-02-09T12:56:18+00:00
ONRD-2019-QNTM-00027,Toward low-latency quantum error-correction code development: Implications for precision timing for distributed platforms,"This effort develops quantum error-correction code development to address persistent entanglement distribution-driven challenges in precision timing for distributed platforms. The team will conduct a phased study combining quantum-secure communications with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in key generation rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include qubit fidelity and constrained entanglement distribution, which will be tracked via quarterly milestone reviews.",Quantum,2019,994000,Beacon Defense Technologies,Code-35,CUI-Mock,seed-initial-2026,2019-05-05T14:53:03+00:00
ONRD-2019-AUTO-00028,Modular Onboard Perception-to-action Pipelines for Group Unmanned Aerial System (UAS) Reconnaissance,"This effort develops onboard perception-to-action pipelines to address persistent onboard compute limits-driven challenges in group unmanned aerial system (UAS) reconnaissance. The team will conduct a phased study combining behavior-tree mission planning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in swarm coordination overhead and a documented transition path informed by operational stakeholder feedback. Key technical risks include degraded communications and constrained swarm resilience, which will be tracked via quarterly milestone reviews.",Autonomy,2019,129000,Redshift Institute of Technology,Code-30,CUI-Mock,seed-initial-2026,2018-12-27T13:18:14+00:00
ONRD-2019-BIOT-00029,Advancing field-deployable diagnostic assay development to Improve warfighter fatigue and readiness monitoring,"This effort develops field-deployable diagnostic assay development to address persistent physiological baseline-driven challenges in warfighter fatigue and readiness monitoring. The team will conduct a phased study combining synthetic biology pathway engineering with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback. Key technical risks include physiological baseline and constrained field ruggedization, which will be tracked via quarterly milestone reviews.",Biotech,2019,55000,Granite Dynamics Corp.,Code-31,CUI-Mock,seed-initial-2026,2019-08-23T16:49:47+00:00
ONRD-2019-DEWX-00030,Toward modular high-energy laser beam control: Implications for atmospheric propagation modeling,This effort develops high-energy laser beam control to address persistent power density-driven challenges in atmospheric propagation modeling. The team will conduct a phased study combining high-power microwave source design with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is thermal blooming; the performer will mitigate this through early prototyping and government checkpoint reviews.,Directed Energy,2019,2566000,Vantage Dynamics Corp.,Code-32,CUI-Mock,seed-initial-2026,2019-04-06T11:09:50+00:00
ONRD-2019-CYBR-00031,Advancing secure software-defined networking to Improve cross-domain solution assurance,"This effort develops secure software-defined networking to address persistent zero-day exposure-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against attack surface-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback.",Cyber,2019,167000,University of Amberfield,Code-30,CUI-Mock,seed-initial-2026,2019-03-19T10:54:26+00:00
ONRD-2019-DEWX-00032,Field-Deployable Approaches to Atmospheric Propagation Modeling via Pulsed-power System Integration,"This effort develops pulsed-power system integration to address persistent beam quality-driven challenges in atmospheric propagation modeling. The performer will design, implement, and evaluate a prototype capability, validating performance against duty-cycle limits-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is power density; the performer will mitigate this through early prototyping and government checkpoint reviews.",Directed Energy,2019,100000,Halcyon Labs,Code-30,Public-Mock,seed-initial-2026,2018-12-12T18:12:20+00:00
ONRD-2020-AIML-00033,Next-Generation Multi-agent Reinforcement Learning for Adversarial Threat Classification,This effort develops multi-agent reinforcement learning to address persistent trust calibration-driven challenges in adversarial threat classification. The team will conduct a phased study combining self-supervised representation learning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.,AI/ML,2020,303000,Anchor Institute of Technology,Code-32,CUI-Mock,seed-initial-2026,2020-05-04T16:32:31+00:00
ONRD-2020-AUTO-00034,Cooperative Multi-vehicle Routing for Contested-environment Navigation,This effort develops cooperative multi-vehicle routing to address persistent degraded communications-driven challenges in contested-environment navigation. The team will conduct a phased study combining swarm coordination algorithms with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.,Autonomy,2020,3579000,Stonebridge Dynamics Corp.,ONR-Corporate,CUI-Mock,seed-initial-2026,2019-12-02T11:22:57+00:00
ONRD-2020-AIML-00035,Advancing transformer-based sequence modeling to Improve adversarial threat classification,This effort develops transformer-based sequence modeling to address persistent latency-driven challenges in adversarial threat classification. The team will conduct a phased study combining explainable neural inference with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in operator trust score and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is edge deployment; the performer will mitigate this through early prototyping and government checkpoint reviews.,AI/ML,2020,240000,Stonebridge Applied Research LLC,Code-32,CUI-Mock,seed-initial-2026,2020-02-17T12:16:37+00:00
ONRD-2020-BIOT-00036,Biomarker-based Fatigue Detection for Biofilm-resistant Hull Coatings,"This effort develops biomarker-based fatigue detection to address persistent physiological baseline-driven challenges in biofilm-resistant hull coatings. The performer will design, implement, and evaluate a prototype capability, validating performance against biomarker specificity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback.",Biotech,2020,322000,Cobalt State University,Code-32,CUI-Mock,seed-initial-2026,2020-05-02T17:36:41+00:00
ONRD-2020-CYBR-00037,Next-Generation Secure Software-defined Networking for Cross-domain Solution Assurance,"This effort develops secure software-defined networking to address persistent attack surface-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against cyber-physical resilience-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is zero-day exposure; the performer will mitigate this through early prototyping and government checkpoint reviews.",Cyber,2020,626000,Duskwater Labs,Code-35,CUI-Mock,seed-initial-2026,2019-10-06T07:47:08+00:00
ONRD-2020-USEA-00038,Synthetic Aperture Sonar Imaging for Seabed Mapping,"This effort develops synthetic aperture sonar imaging to address persistent bathymetric uncertainty-driven challenges in seabed mapping. The performer will design, implement, and evaluate a prototype capability, validating performance against acoustic signature reduction-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is depth-rated housings; the performer will mitigate this through early prototyping and government checkpoint reviews.",Undersea,2020,56000,Highland Advanced Systems Group,Code-31,CUI-Mock,seed-initial-2026,2019-11-09T17:54:21+00:00
ONRD-2020-AIML-00039,Advancing graph neural network reasoning to Improve predictive maintenance for shipboard systems,"This effort develops graph neural network reasoning to address persistent edge deployment-driven challenges in predictive maintenance for shipboard systems. The performer will design, implement, and evaluate a prototype capability, validating performance against trust calibration-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is model drift; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2020,192000,Sable Applied Research LLC,Code-30,Public-Mock,seed-initial-2026,2020-02-20T07:47:07+00:00
ONRD-2020-MATL-00040,High-Fidelity High-entropy Alloy Design for Battery Electrode Materials,This effort develops high-entropy alloy design to address persistent specific strength-driven challenges in battery electrode materials. The team will conduct a phased study combining self-healing polymer synthesis with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is fatigue life; the performer will mitigate this through early prototyping and government checkpoint reviews.,Materials,2020,900000,Halcyon Institute of Technology,Code-30,CUI-Mock,seed-initial-2026,2020-07-31T07:41:04+00:00
ONRD-2020-BIOT-00041,High-Fidelity Synthetic Biology Pathway Engineering for Warfighter Fatigue and Readiness Monitoring,"This effort develops synthetic biology pathway engineering to address persistent field ruggedization-driven challenges in warfighter fatigue and readiness monitoring. The performer will design, implement, and evaluate a prototype capability, validating performance against assay sensitivity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback.",Biotech,2020,214000,University of Duskwater,Code-30,CUI-Mock,seed-initial-2026,2020-05-22T16:31:51+00:00
ONRD-2020-BIOT-00042,Low-Latency Approaches to Biofilm-resistant Hull Coatings via Human Performance Physiological Modeling,This effort develops human performance physiological modeling to address persistent biomarker specificity-driven challenges in biofilm-resistant hull coatings. The team will conduct a phased study combining synthetic biology pathway engineering with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is physiological baseline; the performer will mitigate this through early prototyping and government checkpoint reviews.,Biotech,2020,233000,Copperline Advanced Systems Group,Code-34,CUI-Mock,seed-initial-2026,2020-03-23T15:18:38+00:00
ONRD-2020-USEA-00043,Toward high-fidelity passive acoustic signal processing: Implications for undersea cable route surveying,"This effort develops passive acoustic signal processing to address persistent ambient ocean noise-driven challenges in undersea cable route surveying. The performer will design, implement, and evaluate a prototype capability, validating performance against acoustic signature reduction-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in localization error and a documented transition path informed by operational stakeholder feedback. Key technical risks include acoustic signature reduction and constrained ambient ocean noise, which will be tracked via quarterly milestone reviews.",Undersea,2020,449000,"Palisade Systems, Inc.",Code-30,CUI-Mock,seed-initial-2026,2020-03-20T11:43:00+00:00
ONRD-2020-USEA-00044,Autonomous Underwater Vehicle (AUV) Navigation for Submarine Detection and Tracking,"This effort develops autonomous underwater vehicle (AUV) navigation to address persistent acoustic signature reduction-driven challenges in submarine detection and tracking. The performer will design, implement, and evaluate a prototype capability, validating performance against ambient ocean noise-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in detection range and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is ambient ocean noise; the performer will mitigate this through early prototyping and government checkpoint reviews.",Undersea,2020,1772000,Granite Institute of Technology,Code-30,CUI-Mock,seed-initial-2026,2020-07-31T13:08:18+00:00
ONRD-2020-QNTM-00045,Advancing quantum-secure communications to Improve precision timing for distributed platforms,This effort develops quantum-secure communications to address persistent qubit fidelity-driven challenges in precision timing for distributed platforms. The team will conduct a phased study combining trapped-ion qubit control with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in qubit fidelity and a documented transition path informed by operational stakeholder feedback.,Quantum,2020,632000,Cobalt College of Engineering,Code-30,CUI-Mock,seed-initial-2026,2020-07-22T17:39:58+00:00
ONRD-2020-MATL-00046,Advancing corrosion-resistant coating development to Improve lightweight airframe structures,"This effort develops corrosion-resistant coating development to address persistent fracture toughness-driven challenges in lightweight airframe structures. The performer will design, implement, and evaluate a prototype capability, validating performance against specific strength-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in thermal tolerance and a documented transition path informed by operational stakeholder feedback. Key technical risks include fatigue life and constrained fracture toughness, which will be tracked via quarterly milestone reviews.",Materials,2020,131000,Vantage Polytechnic University,Code-31,CUI-Mock,seed-initial-2026,2020-09-12T08:55:55+00:00
ONRD-2020-DEWX-00047,Low-Latency Approaches to Shipboard Self-defense Layers via Adaptive Optics Wavefront Correction,"This effort develops adaptive optics wavefront correction to address persistent beam quality-driven challenges in shipboard self-defense layers. The performer will design, implement, and evaluate a prototype capability, validating performance against thermal blooming-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in beam quality factor and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is beam quality; the performer will mitigate this through early prototyping and government checkpoint reviews.",Directed Energy,2020,610000,Redshift Polytechnic University,Code-30,CUI-Mock,seed-initial-2026,2020-02-10T08:54:30+00:00
ONRD-2020-QNTM-00048,Adaptive Photonic Quantum Sensing for Precision Timing for Distributed Platforms,"This effort develops photonic quantum sensing to address persistent cryogenic control electronics-driven challenges in precision timing for distributed platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against entanglement distribution-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in sensor sensitivity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cryogenic control electronics; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2020,115000,"Vantage Systems, Inc.",Code-31,CUI-Mock,seed-initial-2026,2020-04-13T14:44:32+00:00
ONRD-2020-MATL-00049,Toward energy-efficient high-entropy alloy design: Implications for battery electrode materials,This effort develops high-entropy alloy design to address persistent fatigue life-driven challenges in battery electrode materials. The team will conduct a phased study combining corrosion-resistant coating development with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is fracture toughness; the performer will mitigate this through early prototyping and government checkpoint reviews.,Materials,2020,133000,Driftwood Institute of Technology,Code-32,CUI-Mock,seed-initial-2026,2020-06-29T12:14:59+00:00
